ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2025-06-16,3545.8772631941406,3211.8022564159533,3518.9712671199304,3545.8772631941406,3545.8772631941406,-180.26177972899666,-180.26177972899666,-180.26177972899666,-13.770204955925985,-13.770204955925985,-13.770204955925985,-166.49157477307065,-166.49157477307065,-166.49157477307065,0.0,0.0,0.0,3365.615483465144,3396.3999
2025-06-17,3549.77770929285,3211.9879848649302,3520.5673776685294,3549.77770929285,3549.77770929285,-180.11362420275236,-180.11362420275236,-180.11362420275236,-13.752238768697891,-13.752238768697891,-13.752238768697891,-166.36138543405445,-166.36138543405445,-166.36138543405445,0.0,0.0,0.0,3369.6640850900976,3386.6001
2025-06-18,3553.6781555555012,3236.63291897786,3531.528056337602,3553.6781555555012,3553.6781555555012,-169.82890908152672,-169.82890908152672,-169.82890908152672,-3.080197151907997,-3.080197151907997,-3.080197151907997,-166.7487119296187,-166.7487119296187,-166.7487119296187,0.0,0.0,0.0,3383.8492464739747,3389.8000
2025-06-20,3561.479048080803,3220.701583323486,3519.1034461475942,3561.479048080803,3561.479048080803,-191.89341790112084,-191.89341790112084,-191.89341790112084,-22.276107391074053,-22.276107391074053,-22.276107391074053,-169.61731051004676,-169.61731051004676,-169.61731051004676,0.0,0.0,0.0,3369.585630179682,3368.1001
2025-06-23,3573.180386868756,3229.1943275701533,3528.8399084885045,3573.180386868756,3573.180386868756,-194.42737144201342,-194.42737144201342,-194.42737144201342,-13.770204955939635,-13.770204955939635,-13.770204955939635,-180.6571664860738,-180.6571664860738,-180.6571664860738,0.0,0.0,0.0,3378.753015426743,3377.7000
2025-06-24,3577.0808331314065,3227.1124767213632,3520.7749532070015,3577.0808331314065,3577.0808331314065,-200.10022960561358,-200.10022960561358,-200.10022960561358,-13.752238768677854,-13.752238768677854,-13.752238768677854,-186.3479908369357,-186.3479908369357,-186.3479908369357,0.0,0.0,0.0,3376.980603525793,3317.3999
2025-06-25,3580.9812793940578,3238.424439720207,3533.695557889052,3580.9812793940578,3580.9812793940578,-196.1232879371524,-196.1232879371524,-196.1232879371524,-3.0801971519193687,-3.0801971519193687,-3.0801971519193687,-193.04309078523303,-193.04309078523303,-193.04309078523303,0.0,0.0,0.0,3384.8579914569054,3327.1001
2025-06-26,3584.881725656709,3213.916324839307,3514.826974555211,3584.881725656709,3584.881725656709,-224.19553122743747,-224.19553122743747,-224.19553122743747,-23.503293977110015,-23.503293977110015,-23.503293977110015,-200.69223725032742,-200.69223725032742,-200.69223725032742,0.0,0.0,0.0,3360.6861944292714,3333.5000
2025-06-27,3588.78217191936,3224.409837623101,3512.0592775206405,3588.78217191936,3588.78217191936,-231.48882359512493,-231.48882359512493,-231.48882359512493,-22.276107391027324,-22.276107391027324,-22.276107391027324,-209.2127162040976,-209.2127162040976,-209.2127162040976,0.0,0.0,0.0,3357.293348324235,3273.7000
2025-06-30,3600.4835107073127,3195.1046147310894,3492.2395584772926,3600.4835107073127,3600.4835107073127,-252.5042123955459,-252.5042123955459,-252.5042123955459,-13.770204955971028,-13.770204955971028,-13.770204955971028,-238.73400743957487,-238.73400743957487,-238.73400743957487,0.0,0.0,0.0,3347.979298311767,3294.3999
2025-07-01,3604.3839568938038,3195.5584051718856,3496.1074960335327,3604.3839568938038,3604.3839568938038,-263.10170199231544,-263.10170199231544,-263.10170199231544,-13.75223876876495,-13.75223876876495,-13.75223876876495,-249.34946322355052,-249.34946322355052,-249.34946322355052,0.0,0.0,0.0,3341.282254901488,3336.7000
2025-07-02,3608.284403080295,3187.6639479056453,3488.8854293168492,3608.284403080295,3608.284403080295,-263.11549661220954,-263.11549661220954,-263.11549661220954,-3.0801971519206837,-3.0801971519206837,-3.0801971519206837,-260.03529946028885,-260.03529946028885,-260.03529946028885,0.0,0.0,0.0,3345.1689064680854,3348.0000
2025-07-03,3612.1848492667864,3176.2067699487484,3467.798749330298,3612.1848492667864,3612.1848492667864,-294.0895052487059,-294.0895052487059,-294.0895052487059,-23.503293977134323,-23.503293977134323,-23.503293977134323,-270.5862112715715,-270.5862112715715,-270.5862112715715,0.0,0.0,0.0,3318.0953440180806,3331.6001
