ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2024-03-01,1660.175473545898,2023.01877157549,2331.418624941945,1660.175473545898,1660.175473545898,510.6632232701458,510.6632232701458,510.6632232701458,-100.58092051817334,-100.58092051817334,-100.58092051817334,611.2441437883192,611.2441437883192,611.2441437883192,0.0,0.0,0.0,2170.838696816044,2086.89990234375
2024-03-04,1692.22666850897,2033.736316082367,2351.831643697845,1692.22666850897,1692.22666850897,498.098931164721,498.098931164721,498.098931164721,-101.64199718337086,-101.64199718337086,-101.64199718337086,599.7409283480919,599.7409283480919,599.7409283480919,0.0,0.0,0.0,2190.325599673691,2117.699951171875
2024-03-05,1702.9104001633275,2065.619819400389,2361.6449380278987,1702.9104001633275,1702.9104001633275,492.66422465019633,492.66422465019633,492.66422465019633,-100.03907316530231,-100.03907316530231,-100.03907316530231,592.7032978154987,592.7032978154987,592.7032978154987,0.0,0.0,0.0,2195.5746248135238,2133.5
2024-03-06,1713.594131817685,2058.4044863286545,2369.9119852844246,1713.594131817685,1713.594131817685,491.6400445850699,491.6400445850699,491.6400445850699,-92.34954378090843,-92.34954378090843,-92.34954378090843,583.9895883659784,583.9895883659784,583.9895883659784,0.0,0.0,0.0,2205.2341764027547,2150.300048828125
2024-03-07,1724.2778634720423,2039.4257550664965,2361.671947042974,1724.2778634720423,1724.2778634720423,473.4360218905655,473.4360218905655,473.4360218905655,-100.17043951663403,-100.17043951663403,-100.17043951663403,573.6064614071995,573.6064614071995,573.6064614071995,0.0,0.0,0.0,2197.713885362608,2158.0
2024-03-08,1734.9615951263997,2041.6809801075603,2346.9555154216187,1734.9615951263997,1734.9615951263997,461.0154801684562,461.0154801684562,461.0154801684562,-100.58092051793184,-100.58092051793184,-100.58092051793184,561.596400686388,561.596400686388,561.596400686388,0.0,0.0,0.0,2195.977075294856,2178.60009765625
2024-03-11,1767.012790089472,2028.033322018751,2344.6060595928107,1767.012790089472,1767.012790089472,415.11781492654194,415.11781492654194,415.11781492654194,-101.64199718361148,-101.64199718361148,-101.64199718361148,516.7598121101533,516.7598121101533,516.7598121101533,0.0,0.0,0.0,2182.1306050160138,2182.5
2024-03-12,1777.6965217438292,2024.7130254402114,2321.2828699827023,1777.6965217438292,1777.6965217438292,399.3243543486058,399.3243543486058,399.3243543486058,-100.03907316533227,-100.03907316533227,-100.03907316533227,499.36342751393806,499.36342751393806,499.36342751393806,0.0,0.0,0.0,2177.020876092435,2160.39990234375
2024-03-13,1788.3802517933052,2029.9356013728852,2339.746443491079,1788.3802517933052,1788.3802517933052,388.7082786076514,388.7082786076514,388.7082786076514,-92.34954378090993,-92.34954378090993,-92.34954378090993,481.05782238856125,481.05782238856125,481.05782238856125,0.0,0.0,0.0,2177.0885304009566,2175.39990234375
2024-03-14,1799.0639818427815,2009.5848334878797,2325.490208907542,1799.0639818427815,1799.0639818427815,361.8989616425175,361.8989616425175,361.8989616425175,-100.17043951673648,-100.17043951673648,-100.17043951673648,462.06940115925397,462.06940115925397,462.06940115925397,0.0,0.0,0.0,2160.962943485299,2163.0
2024-03-15,1809.7477118922573,2005.188445076908,2299.10413336149,1809.7477118922573,1809.7477118922573,342.06177510703105,342.06177510703105,342.06177510703105,-100.58092051793233,-100.58092051793233,-100.58092051793233,442.6426956249634,442.6426956249634,442.6426956249634,0.0,0.0,0.0,2151.8094869992883,2157.300048828125
2024-03-18,1841.7989020406853,1982.765764526173,2275.2357976879875,1841.7989020406853,1841.7989020406853,282.69637997724794,282.69637997724794,282.69637997724794,-101.6419971828273,-101.6419971828273,-101.6419971828273,384.33837716007525,384.33837716007525,384.33837716007525,0.0,0.0,0.0,2124.4952820179333,2160.699951171875
2024-03-19,1852.4826320901614,1957.8370160006878,2285.7125565150095,1852.4826320901614,1852.4826320901614,265.7385106627911,265.7385106627911,265.7385106627911,-100.03907316523026,-100.03907316523026,-100.03907316523026,365.7775838280214,365.7775838280214,365.7775838280214,0.0,0.0,0.0,2118.2211427529523,2156.300048828125
2024-03-20,1863.1663621396374,1967.1158577896615,2271.863363462944,1863.1663621396374,1863.1663621396374,255.73164122293545,255.73164122293545,255.73164122293545,-92.34954378091139,-92.34954378091139,-92.34954378091139,348.0811850038468,348.0811850038468,348.0811850038468,0.0,0.0,0.0,2118.898003362573,2157.89990234375
2024-03-21,1873.8500921891134,1961.671113452607,2263.4275308415945,1873.8500921891134,1873.8500921891134,231.31501191807456,231.31501191807456,231.31501191807456,-100.1704395167036,-100.1704395167036,-100.1704395167036,331.48545143477816,331.48545143477816,331.48545143477816,0.0,0.0,0.0,2105.165104107188,2182.39990234375
2024-03-22,1884.5338222385892,1952.4293819381974,2257.4300831990863,1884.5338222385892,1884.5338222385892,215.62477700116204,215.62477700116204,215.62477700116204,-100.58092051769083,-100.58092051769083,-100.58092051769083,316.2056975188529,316.2056975188529,316.2056975188529,0.0,0.0,0.0,2100.1585992397513,2158.10009765625
2024-03-25,1916.5850123870175,1938.4251934470692,2251.556436723668,1916.5850123870175,1916.5850123870175,178.36284201682113,178.36284201682113,178.36284201682113,-101.64199718306794,-101.64199718306794,-101.64199718306794,280.0048391998891,280.0048391998891,280.0048391998891,0.0,0.0,0.0,2094.947854403839,2174.800048828125
2024-03-26,1927.2687424364935,1945.268540211342,2251.5764211919636,1927.2687424364935,1927.2687424364935,171.52948960766355,171.52948960766355,171.52948960766355,-100.03907316526023,-100.03907316526023,-100.03907316526023,271.56856277292377,271.56856277292377,271.56856277292377,0.0,0.0,0.0,2098.798232044157,2175.60009765625
